    IVox Add Points,     Incremental Mapping,     ObsModel (IEKF Build Jacobian),     ObsModel (Lidar Match), Downsample PointCloud, IEKF Solve and Update, Laser Mapping Single Run, Preprocess (Livox), Undistort Pcl, 
0.09414,0.287481,0.04048,0.072994,0.250867,2.72897,4.19245,0.19269,0.564864,
0.084073,0.255476,0.031628,0.075624,0.233087,2.486,3.87626,0.188957,0.580523,
0.084779,0.268418,0.026917,0.446079,0.228742,2.58437,4.35194,0.180849,0.686453,
0.122826,0.298785,0.033345,0.506738,0.224129,2.43533,4.12881,0.201936,0.594324,
0.062483,0.235079,0.070156,0.093837,0.223211,2.41395,4.2638,0.178757,0.595764,
0.057921,0.234741,0.048331,0.073823,0.243094,2.47361,4.23537,0.198582,0.592434,
0.062775,0.233344,0.025572,0.48634,0.232903,2.71752,4.11187,0.199762,0.593045,
0.082321,0.253904,0.03141,0.517729,0.226107,2.68072,3.97742,0.179128,0.603968,
0.077411,0.251274,0.036655,0.092826,0.232153,2.77731,3.8682,0.170825,0.593554,
0.108559,0.277596,0.025746,0.505374,0.233556,2.58771,3.96431,0.189891,0.598364,
0.079367,0.250926,0.029388,0.085871,0.236408,2.49862,4.19814,0.170406,0.590718,
0.047882,0.220499,0.028488,0.570667,0.246048,2.50266,4.16698,0.18425,0.615355,
0.070767,0.242648,0.039192,0.077008,0.229897,2.56874,4.2914,0.197994,0.60906,
0.07186,0.243179,0.031384,0.073896,0.22547,2.56958,4.11735,0.184145,0.661888,
0.086045,0.376154,0.026795,0.465496,0.225868,2.54785,4.06654,0.185524,0.614329,
0.057092,0.228475,0.032279,0.559611,0.313907,2.71768,4.04669,0.188199,0.597743,
0.066259,0.240228,0.046528,0.083107,0.210935,2.7685,4.1561,0.174703,0.597998,
0.071322,0.243813,0.024461,0.474362,0.231327,2.60949,4.08907,0.165816,0.598115,
0.065791,0.236198,0.037134,0.081048,0.217535,3.53604,4.2051,0.170322,0.592247,
0.065875,0.23092,0.036122,0.613018,0.234264,3.3643,4.32607,0.182476,0.592614,
0.057682,0.228423,0.044382,0.083167,0.21324,2.32204,4.29013,0.187809,0.570694,
0.650018,0.864215,0.02915,0.475546,0.219724,2.66705,8.49825,0.198896,0.580643,
0.091424,0.282467,0.037177,0.085374,0.211485,2.74732,5.03952,0.225942,0.577569,
0.063152,0.238163,0.030893,0.556923,0.212212,2.71289,4.8499,0.189482,0.583691,
0.066343,0.229202,0.03843,0.072292,0.212701,2.30338,3.7884,0.191592,0.575047,
0.06375,0.229184,0.023865,0.52675,0.228641,2.70535,4.7381,0.176385,0.576625,
0.059143,0.225014,0.0332,0.071864,0.240734,2.56651,4.40067,0.184255,0.677153,
0.059425,0.223708,0.034249,0.640522,0.227476,2.58758,4.18362,0.212364,0.619021,
0.056701,0.217758,0.06062,0.092235,0.215621,2.66053,3.73427,0.186407,0.625262,
0.055875,0.231353,0.028044,0.512634,0.222846,2.97782,4.25369,0.189929,0.589795,
0.065057,0.23165,0.045472,0.078893,0.209795,2.79076,4.06074,0.177873,0.573885,
0.052664,0.21781,0.043884,0.622967,0.216052,2.73201,4.09332,0.18082,0.571516,
0.053458,0.214695,0.041472,0.081876,0.216429,2.69465,4.10927,0.190797,0.572909,
0.06379,0.231868,0.03753,0.067228,0.216727,3.09397,4.40149,0.176209,0.587069,
0.065211,0.234822,0.028162,0.502675,0.22707,3.22587,4.2094,0.182721,0.564793,
0.068345,0.253579,0.030319,0.648571,0.233125,2.75076,4.29188,0.197902,0.744571,
0.047577,0.210857,0.049909,0.075047,0.21489,2.68642,4.14728,0.214056,0.67353,
0.055326,0.22313,0.027482,0.523589,0.217545,2.75776,4.50233,0.167434,0.588419,
0.05816,0.232968,0.045877,0.078328,0.240354,2.78706,4.93438,0.19161,0.701621,
0.056368,0.23222,0.032002,0.645921,0.232595,2.64156,4.3624,0.226289,0.582445,
0.06891,0.247711,0.042641,0.079338,0.205734,3.01277,4.1007,0.178607,0.592403,
0.044615,0.207525,0.055481,0.059435,0.212379,2.69327,4.29682,0.174397,0.621418,
0.050446,0.211951,0.029733,0.522856,0.211088,2.78519,4.25522,0.178165,0.695773,
0.212654,0.37887,0.028932,0.649049,0.212147,2.76461,4.26115,0.189866,0.564717,
0.050217,0.212392,0.043878,0.071144,0.214864,3.06639,4.51197,0.188422,0.569029,
0.058899,0.235855,0.026341,0.533311,0.216362,2.97313,4.286,0.230076,0.562968,
0.045956,0.20749,0.053536,0.068787,0.21265,2.75397,4.18701,0.183139,0.585297,
0.054675,0.21686,0.030805,0.617041,0.223253,2.63832,4.33458,0.161825,0.615711,
0.061087,0.224102,0.048495,0.075234,0.209147,2.79003,4.52595,0.222048,0.607452,
0.064217,0.236447,0.027842,0.521457,0.211098,2.6678,4.99056,0.19545,0.58574,
0.051346,0.214658,0.042624,0.077479,0.222786,2.73566,4.18422,0.18048,0.572889,
0.053414,0.217859,0.030413,0.645514,0.21251,2.30777,4.08521,0.186114,0.562852,
0.053376,0.223007,0.058573,0.06407,0.221815,2.5314,4.39522,0.197827,0.56113,
0.041689,0.206737,0.044166,0.072782,0.219445,3.4391,4.09308,0.181155,0.566734,
0.109368,0.276482,0.026149,0.537887,0.215491,4.89268,4.12809,0.170541,0.585852,
0.057418,0.225556,0.029276,0.631725,0.217647,4.54125,3.68221,0.175136,0.643299,
0.047282,0.219621,0.053869,0.074612,0.220759,2.97526,457.601,0.173386,0.572535,
0.055642,0.219404,0.050649,0.070781,0.220316,3.08857,4.97482,0.287815,0.572822,
0.042653,0.208346,0.025703,0.568792,0.238178,2.70652,6.53941,0.236411,0.65444,
0.055117,0.231356,0.030006,0.623044,0.228536,3.18926,6.25586,0.216033,0.588844,
0.045829,0.209376,0.051192,0.08226,0.227352,2.76945,4.44162,0.237113,0.58429,
0.058144,0.232049,0.030021,0.525245,0.218007,2.72318,4.94921,0.179837,0.572153,
0.062949,0.237693,0.03474,0.077578,0.213618,3.20633,4.19149,0.230785,0.580389,
0.05688,0.214503,0.028655,0.669323,0.228519,3.22294,4.6448,0.182228,0.575233,
0.035702,0.197509,0.050535,0.075529,0.218124,2.65601,4.23571,0.236171,0.608772,
0.049356,0.213092,0.025943,0.554448,0.21591,2.36992,4.1673,0.19051,0.710622,
0.046249,0.217608,0.035532,0.080869,0.246252,2.84702,4.68466,0.197938,0.703869,
0.037955,0.212157,0.027921,0.700292,0.211906,2.87603,4.71761,0.207389,0.625012,
0.043939,0.208468,0.060604,0.073012,0.227677,2.90226,4.20349,0.204659,0.568607,
0.035468,0.194122,0.026853,0.647371,0.21278,2.91381,4.44344,0.182445,0.57869,
0.054893,0.223223,0.056099,0.074186,0.2205,2.76626,4.39699,0.229603,0.573706,
0.045382,0.213634,0.029489,0.622604,0.212516,2.66138,4.31295,0.225908,0.812822,
0.038589,0.230636,0.063106,0.072223,0.238495,2.72651,4.48359,0.351619,0.583617,
0.04151,0.212548,0.027625,0.550472,0.228628,3.11181,4.29152,0.183969,0.581366,
0.038674,0.199046,0.042648,0.075938,0.22105,2.865,4.48054,0.237288,0.584953,
0.042511,0.205814,0.170401,0.683603,0.216416,2.85238,4.07975,0.193946,0.581064,
0.052148,0.214404,0.050392,0.072297,0.235606,2.68624,4.22834,0.212951,0.576333,
0.035199,0.19758,0.026089,0.563986,0.218792,2.57063,4.55508,0.193709,0.587093,
0.042543,0.223394,0.052408,0.074829,0.233102,2.73104,4.29651,0.180993,0.623142,
0.046138,0.235668,0.035906,0.705674,0.227538,2.73129,4.29846,0.185734,0.620423,
0.058192,0.247329,0.056891,0.070249,0.231775,3.1364,4.28025,0.172274,0.610741,
0.062547,0.26149,0.027749,0.595867,0.225704,3.69336,4.07146,0.187833,0.62772,
0.04058,0.210027,0.060856,0.064326,0.245106,2.79536,4.29916,0.211804,0.602319,
0.048746,0.21316,0.028414,0.637901,0.231547,2.88207,4.29305,0.185087,0.650599,
0.075527,0.277562,0.055747,0.084989,0.236483,2.95676,4.77249,0.240855,0.672456,
0.047905,0.226669,0.026522,0.589334,0.249053,3.00011,5.27749,0.208327,0.608152,
0.055589,0.234938,0.045706,0.076307,0.231907,3.02077,4.50476,0.312626,0.649531,
0.056079,0.231219,0.037425,0.767051,0.22929,2.8388,13.2364,0.195448,0.579478,
0.041306,0.20201,0.067169,0.076657,0.244604,2.80452,4.75327,0.27768,0.584654,
0.042359,0.221197,0.02786,0.594517,0.278701,3.28422,4.57637,0.211414,0.596324,
0.07604,0.304665,0.055621,0.07691,0.220513,3.92411,4.53686,0.240607,0.711256,
0.051282,0.256956,0.034976,0.718748,0.220004,3.43415,4.31935,0.211433,0.646228,
0.051203,0.212274,0.05265,0.092583,0.219195,2.82099,4.28777,0.22447,0.597115,
0.049067,0.212495,0.028445,0.575018,0.215943,2.77081,4.90458,0.181117,0.60322,
0.047949,0.22448,0.058014,0.073007,0.212537,2.39099,5.70259,0.356828,0.595309,
0.039016,0.222544,0.031774,0.696704,0.215722,2.77765,4.96464,0.234441,0.593183,
0.039451,0.205307,0.056862,0.076307,0.218322,2.92557,4.34742,0.27018,0.60314,
0.039111,0.244098,0.028587,0.571777,0.212275,3.0587,4.36679,0.195175,0.566629,
0.0491,0.218171,0.06269,0.078669,0.220119,3.02183,3.86598,0.190826,0.569664,
0.038397,0.211012,0.033267,0.63799,0.213673,2.89554,4.23906,0.198489,0.578598,
0.050557,0.224899,0.053568,0.069715,0.216944,2.7833,4.31759,0.18604,0.5746,
0.054417,0.23389,0.050984,0.070071,0.214797,2.58431,4.48654,0.185502,0.608988,
0.049912,0.230548,0.029477,0.584369,0.212306,3.09738,4.49397,0.237549,0.574584,
0.050201,0.22819,0.027123,0.54146,0.231351,2.74867,4.30325,0.192407,0.568582,
0.038448,0.20798,0.050256,0.080263,0.208613,2.79465,4.30537,0.243071,0.59355,
0.049552,0.214512,0.025195,0.562085,0.208182,2.81822,4.02408,0.185274,0.566682,
0.044251,0.208541,0.039405,0.079493,0.21477,2.80726,4.66351,0.191957,0.569119,
0.041906,0.20726,0.028386,0.701893,0.225925,2.8223,4.2265,0.198832,0.624478,
0.04402,0.204617,0.060005,0.072824,0.221229,2.70952,4.16171,0.168138,0.568845,
0.050557,0.217425,0.054201,0.071145,0.219779,2.77364,4.34441,0.174654,0.586851,
0.041705,0.229437,0.02473,0.583081,0.230793,2.96287,4.2451,0.17922,0.606145,
0.063486,0.286762,0.031533,0.702452,0.21067,2.95847,4.2167,0.180016,0.601144,
0.046683,0.217755,0.072143,0.070226,0.228379,2.96321,4.11892,0.186266,0.570648,
0.048397,0.22684,0.050208,0.069121,0.233941,3.03465,4.20515,0.175212,0.621423,
0.048726,0.226936,0.028537,0.585293,0.239632,3.29907,4.46295,0.209886,0.592799,
0.042676,0.230806,0.029336,0.710223,0.23149,3.04038,4.59337,0.188972,0.668418,
0.04184,0.216419,0.05266,0.06611,0.220364,3.2892,4.48794,0.225193,0.637267,
0.043998,0.224493,0.026078,0.562939,0.227319,3.14536,4.52005,0.19852,0.607165,
0.037643,0.197854,0.062286,0.074926,0.21586,2.64799,4.90268,0.212081,0.593588,
0.038002,0.19751,0.036689,0.681815,0.209679,2.35943,4.55965,0.189814,0.640143,
0.038277,0.198505,0.050372,0.070327,0.205389,3.07065,4.76811,0.205073,0.613576,
0.045311,0.216144,0.025899,0.566176,0.22439,2.82509,4.602,0.187555,0.56275,
0.043134,0.216321,0.053631,0.066019,0.20796,2.5612,4.14505,0.225041,0.597235,
0.042785,0.217181,0.033389,0.627739,0.235938,2.71446,3.97242,0.208311,0.566645,
0.048261,0.220767,0.05193,0.072276,0.214306,2.85722,4.43583,0.186773,0.626424,
0.047417,0.22402,0.027912,0.620533,0.228604,2.93084,4.49189,0.403765,0.561568,
0.05015,0.227726,0.075228,0.075827,0.228215,2.75112,3.94161,0.163971,0.595454,
0.085367,0.26514,0.03073,0.731589,0.230492,2.68549,4.21273,0.195423,0.689576,
0.093381,0.286996,0.060779,0.072526,0.229148,2.74057,4.26028,0.182461,0.619357,
0.092907,0.265395,0.027346,0.607904,0.230517,2.69438,4.40607,0.201706,0.593111,
0.086123,0.267218,0.050834,0.082681,0.237297,2.77354,4.29841,0.174303,0.600266,
0.064258,0.235267,0.031256,0.701912,0.241744,2.6779,4.22186,0.194022,0.601003,
0.077012,0.250961,0.052506,0.071692,0.227519,2.95554,4.47259,0.2012,0.579579,
0.085985,0.266627,0.028053,0.598144,0.234215,3.0348,4.19768,0.179827,0.587472,
0.100363,0.419083,0.046824,0.077687,0.235577,2.8464,4.30353,0.194275,0.611528,
0.095302,0.29712,0.035705,0.690898,0.237635,2.98238,4.12783,0.180109,0.691002,
0.100491,0.277725,0.074763,0.066451,0.224263,3.05288,4.42824,0.178416,0.609204,
0.101771,0.278462,0.026585,0.639307,0.218739,3.20497,4.57275,0.195719,0.585024,
0.103055,0.281414,0.03215,0.782958,0.235622,2.8603,4.61638,0.172197,0.579111,
0.102328,0.292559,0.069925,0.079038,0.22171,2.52837,4.54512,0.187981,0.601734,
0.118403,0.349688,0.02721,0.652946,0.222293,3.6752,4.6876,0.174905,0.606096,
0.122102,0.337807,0.050098,0.074171,0.267705,4.11549,4.69726,0.198711,0.635606,
0.112934,0.31764,0.03287,0.738134,0.253957,2.77091,4.37376,0.177124,0.633019,
0.118358,0.319467,0.071329,0.079115,0.258882,2.89369,4.05433,0.19126,0.642576,
0.110205,0.316263,0.034484,0.626328,0.260281,3.20576,5.35304,0.219911,0.636002,
0.110452,0.310365,0.054486,0.066118,0.261427,2.92101,5.83917,0.228831,0.657038,
0.117838,0.325777,0.032931,0.667102,0.252703,3.45656,4.50213,0.264784,0.641909,
0.103739,0.293086,0.074392,0.0763,0.230967,2.86832,4.56693,0.20752,0.644107,
0.100725,0.291017,0.031226,0.632619,0.240413,2.84089,4.8975,0.210471,0.599189,
0.09698,0.289277,0.05241,0.076447,0.241019,2.95652,4.8838,0.366943,0.606228,
0.097831,0.2933,0.050049,0.640166,0.240583,3.31752,5.15736,0.211941,0.595423,
0.100629,0.294565,0.058221,0.076559,0.244689,3.03465,4.4329,0.212637,0.656047,
0.08337,0.274809,0.043968,0.072374,0.222963,3.28072,4.40481,0.195041,0.614073,
0.100617,0.306207,0.030347,0.585001,0.247637,2.97881,4.50921,0.192641,0.586024,
0.084345,0.282496,0.038158,0.686309,0.254455,2.90825,4.94801,0.205072,0.644689,
0.135804,0.382905,0.059678,0.076877,0.255602,3.37665,4.64081,0.187623,0.636357,
0.08022,0.284041,0.029394,0.588561,0.241914,4.20821,4.80068,0.212435,0.692527,
0.120058,0.358518,0.04319,0.080804,0.257441,3.93954,654.57,0.219185,0.630113,
0.078212,0.294995,0.02853,0.667737,0.239499,3.21278,5.20436,0.283537,0.707297,
0.092233,0.322016,0.044227,0.074328,0.264982,3.70836,5.26362,0.296198,0.629115,
0.079195,0.303618,0.04126,0.06564,0.256204,3.74762,5.87089,0.254735,0.666904,
0.076699,0.273886,0.026864,0.56313,0.257873,3.08832,5.83763,0.319678,0.670163,
0.14586,0.394255,0.030399,0.719652,0.234991,4.17399,4.82551,0.209946,0.646104,
0.084775,0.317857,0.047426,0.072621,0.253403,3.91473,5.44639,0.208205,0.631436,
0.089578,0.31984,0.061338,0.76507,0.256747,3.90505,5.49278,0.269345,0.614398,
0.080338,0.319157,0.034477,0.579208,0.283261,3.69402,4.72479,0.221697,0.82459,
0.108521,0.34782,0.055689,0.080773,0.249156,3.6551,6.42649,0.311704,0.800929,
0.080806,0.29295,0.029849,0.601555,0.254708,3.12758,5.57275,0.206993,0.669039,
0.122889,0.34851,0.059657,0.084119,0.262063,3.72346,5.81451,0.247837,0.645312,
0.09173,0.298014,0.03343,0.683144,0.269479,3.97984,5.56345,0.197829,0.642788,
0.115404,0.351947,0.059516,0.083116,0.236312,3.40405,5.47587,0.289565,0.745204,
0.084444,0.288591,0.028746,0.592465,0.237983,3.47718,4.81068,0.243025,0.668508,
0.106851,0.351786,0.204939,0.078345,0.252407,3.74646,5.48269,0.259091,0.603953,
0.080456,0.288128,0.034984,0.717826,0.242411,3.45751,5.75412,0.217713,0.606119,
0.065169,0.261723,0.057262,0.077205,0.245364,3.66948,5.1562,0.246049,0.719283,
0.094198,0.313308,0.030069,0.668938,0.238952,3.82607,5.48574,0.202166,0.731296,
0.114424,0.345972,0.046849,0.07982,0.244,3.78046,5.61475,0.375904,0.6091,
0.098122,0.318393,0.03109,0.771859,0.238061,3.80865,5.25281,0.312362,0.739773,
0.103209,0.326031,0.08567,0.096196,0.247326,3.08396,5.67883,0.364764,0.619264,
0.091871,0.319719,0.02832,0.618202,0.254521,3.11015,5.51101,0.247268,0.694291,
0.099129,0.31893,0.047756,0.075126,0.267359,3.90782,5.67588,0.313123,0.63904,
0.149086,0.38681,0.028282,0.711654,0.23093,3.96828,5.46363,0.241807,0.629077,
0.08836,0.313665,0.052668,0.075752,0.253802,3.40081,4.79346,0.186214,0.634219,
0.137262,0.401734,0.056635,0.074504,0.265176,4.29097,5.46795,0.366421,0.600304,
0.171317,0.458134,0.027959,0.591396,0.263175,4.84683,5.59661,0.211313,0.661949,
0.125735,0.391139,0.034979,0.630909,0.248744,3.34472,5.73083,0.26125,0.608781,
0.138115,0.463872,0.047902,0.076352,0.261074,4.11958,5.02791,0.218709,0.688255,
0.09073,0.322754,0.028389,0.597758,0.235768,4.1734,6.22784,0.216338,0.659579,
0.139236,0.394737,0.052457,0.076971,0.249762,4.12198,6.81709,0.363991,0.627178,
0.091462,0.327866,0.031852,0.62438,0.234601,4.41983,5.22043,0.273542,0.646009,
0.086023,0.32497,0.053919,0.067831,0.258415,3.76778,6.04421,0.276826,0.595851,
0.145747,0.409772,0.030263,0.597419,0.258941,4.41847,5.83031,0.226592,0.639865,
0.09161,0.372949,0.047377,0.076246,0.259197,4.32437,6.41567,0.303493,1.0754,
0.095648,0.334814,0.032143,0.683911,0.253639,3.71409,6.05974,0.22004,0.680477,
0.093995,0.338414,0.070477,0.064684,0.273363,3.90825,5.50188,0.257006,0.657618,
0.119756,0.3708,0.029528,0.596782,0.258375,4.32894,6.65725,0.239739,0.6156,
0.091548,0.331382,0.056279,0.067153,0.253601,3.66293,6.17299,0.228868,0.653044,
0.098526,0.347637,0.031603,0.712083,0.284881,4.47422,5.46962,0.223417,0.64782,
0.124256,0.376489,0.051563,0.075137,0.257548,4.26892,5.61651,0.217196,0.685279,
0.088167,0.325285,0.026036,0.588945,0.245595,3.68915,6.14545,0.269563,0.652624,
0.107337,0.372614,0.051963,0.076346,0.42759,4.21083,5.39532,0.245703,0.606098,
0.085839,0.341582,0.028459,0.693876,0.254181,3.79806,6.72906,0.244586,0.730525,
0.166534,0.459564,0.043797,0.075669,0.296436,5.27737,6.31742,0.507901,0.640906,
0.194014,0.501917,0.028592,0.596772,0.261135,6.63501,5.33531,0.216261,0.634461,
0.309049,0.584354,0.050065,0.067117,0.356425,4.2088,6.28628,0.283845,0.726617,
0.337454,0.634849,0.029369,0.662887,0.872449,7.05889,5.49136,0.200867,1.16246,
0.166257,0.495563,0.041151,0.072253,0.30235,4.33456,7.38862,0.252709,0.985858,
0.164277,0.48214,0.030009,0.596378,0.263449,5.38704,8.88864,0.493362,0.685327,
0.088254,0.329635,0.148936,0.078251,0.262841,3.97127,6.97203,0.380581,0.740325,
0.179596,0.472866,0.035519,0.747638,0.262848,4.44163,10.2622,0.301292,0.62878,
0.0867,0.33553,0.049846,0.078796,0.264422,4.76535,6.96658,0.395325,0.651478,
0.093815,0.325744,0.029177,0.701262,0.253323,3.60979,7.57234,0.414269,0.647492,
0.072053,0.301518,0.046839,0.080165,0.354135,3.78031,5.74273,0.292887,0.642976,
0.086288,0.323722,0.032796,0.687184,0.255112,3.68155,6.33715,0.225929,0.693073,
0.08145,0.315486,0.046878,0.071554,0.254803,4.07075,6.52359,0.23664,0.636824,
0.077668,0.314424,0.036075,0.596918,0.259351,4.01317,5.33141,0.252388,0.638118,
0.080323,0.318415,0.051022,0.074443,0.25852,3.77123,5.60053,0.217828,0.674559,
0.094223,0.333739,0.128119,0.915068,0.258624,3.5981,5.41253,0.235551,0.673012,
0.082062,0.328479,0.048687,0.082196,0.276962,4.30141,24.1649,0.267103,0.6344,
0.077086,0.312112,0.059694,0.889815,0.253507,4.17306,5.78582,0.26241,0.640836,
0.090826,0.329588,0.051006,0.068332,0.246803,3.70923,5.6153,0.336292,0.634596,
0.069356,0.295975,0.06474,0.882869,0.243888,3.92173,5.76828,0.225419,0.661456,
0.079897,0.292178,0.057813,0.07785,0.252098,3.50734,6.02292,0.224403,0.632044,
0.093374,0.323418,0.076151,0.89065,0.232987,3.31099,5.85156,0.195067,0.614834,
0.074183,0.290159,0.064498,0.070851,0.274999,3.30046,5.42349,0.232999,0.625328,
0.082219,0.309437,0.03343,0.736489,0.254673,3.54856,5.55668,0.227478,0.615215,
0.070641,0.306032,0.063348,0.075365,0.256977,3.40484,5.12191,0.199258,0.6157,
0.076412,0.293849,0.028125,0.627183,0.25151,3.51468,4.95885,0.216949,0.643738,
0.08605,0.309485,0.031637,0.748574,0.256288,3.23651,4.91723,0.202645,0.638514,
0.073194,0.316503,0.053987,0.072011,0.249353,3.15971,5.17188,0.198906,0.638479,
0.090332,0.30929,0.030014,0.631305,0.24258,3.62088,5.26953,0.263463,0.642724,
0.085873,0.304708,0.056705,0.073341,0.250301,3.27087,5.16685,0.235215,0.630396,
0.112596,0.379788,0.035284,0.724704,0.255105,3.53851,4.92126,0.208863,0.625669,
0.145262,0.437319,0.064294,0.070045,0.25557,4.53811,4.84749,0.219156,0.610705,
0.175456,0.473381,0.036688,0.61322,0.256271,3.55912,5.39405,0.358763,0.629929,
0.168562,0.452889,0.05348,0.075961,0.259438,4.80493,5.07156,0.214845,0.635289,
0.094944,0.360415,0.032279,0.748749,0.263107,4.78715,5.22607,0.188699,0.696628,
0.08219,0.334291,0.039924,0.1092,0.261101,3.47557,6.45866,0.31063,0.660521,
0.079926,0.323561,0.030063,0.60528,0.252882,4.35463,5.64053,0.237616,0.635819,
0.082243,0.326087,0.049798,0.078339,0.251506,3.38438,6.77669,0.291484,0.636069,
0.076906,0.321339,0.030945,0.683519,0.258799,3.71241,6.63372,0.283829,0.692808,
0.077158,0.313071,0.054833,0.072052,0.261227,3.14249,5.21935,0.251876,0.640592,
0.098497,0.350255,0.02942,0.598511,0.246091,4.10066,6.05592,0.23065,0.632353,
0.079163,0.305394,0.028995,0.739241,0.264535,3.45004,5.33539,0.271904,0.63761,
0.094863,0.359009,0.054809,0.073223,0.250172,3.96,5.41296,0.227483,0.632895,
0.074812,0.30404,0.026515,0.642894,0.254927,3.87356,4.82215,0.217087,0.613608,
0.061673,0.298415,0.062225,0.073542,0.249887,3.32037,5.8292,0.232617,0.647348,
0.075423,0.316025,0.036224,0.666468,0.252176,3.83607,5.25298,0.210016,0.64243,
0.069567,0.29529,0.063686,0.063979,0.253438,3.54435,5.75964,0.324553,0.629447,
0.076382,0.31156,0.02912,0.614473,0.256006,3.4691,5.57201,0.231272,0.631928,
